keys,en,fr,es
dialogue.intro.knight.001,"Prepare for battle!","Préparez-vous au combat !","¡Prepárense para la batalla!"
dialogue.intro.mage.001,"My magic will protect us.","Ma magie nous protégera.","Mi magia nos protegerá."
dialogue.intro.archer.001,"I've got your back!","Je vous couvre !","¡Os cubro!"
dialogue.battle.knight.attack,"Take this!","En garde !","¡Toma esto!"
dialogue.battle.knight.damaged,"Argh! That hurt!","Argh ! Ça fait mal !","¡Argh! ¡Eso dolió!"
dialogue.battle.mage.spell,"Feel my power!","Sentez ma puissance !","¡Siente mi poder!"
dialogue.battle.archer.critical,"Bullseye!","Dans le mille !","¡En el blanco!"
dialogue.victory.knight.001,"Victory is ours!","La victoire est nôtre !","¡La victoria es nuestra!"
dialogue.defeat.knight.001,"We must retreat...","Nous devons battre en retraite...","Debemos retirarnos..."
bark.damaged,"Ow!","Aïe !","¡Ay!"
bark.heal,"Thank you!","Merci !","¡Gracias!"
bark.dodge,"Missed me!","Raté !","¡Me esquivaste!"
bark.critical,"Critical hit!","Coup critique !","¡Golpe crítico!"
speaker.knight,"Sir Gaheris","Sire Gaheris","Sir Gaheris"
speaker.mage,"Elara","Elara","Elara"
speaker.archer,"Aldric","Aldric","Aldric"
